Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
766d032d352fddd0ee78873a1edecaa4;26/07/2023;29/08/2023;Operacao Especial;Tráfico de Drogas                                                                                                               ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
2e0d9810c7f3745bf72285c163ff835c;29/08/2023;29/08/2023;Operacao de Apoio;Crimes Contra o Patrimônio                                                                                                      ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
dd4153695a33d3bde24221a207781b44;29/08/2023;29/08/2023;Operacao de Apoio;Crimes Contra o Patrimônio                                                                                                      ;SP;DPF/SJE/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
8440c1fa22fe2bba1bc1cfe6f5b82838;29/08/2023;29/08/2023;Operacao Especial;Crimes de Corrupção                                                                                                             ;AM;NIP/SR/PF/AM                                                    ;Nao;                                                                                                                                ;0;0;0;19;R$78.858,00;;;;0;0;0;0;0;0;0;0;0;0
3a7a8620dd8cd4c8a539d50fcd971e42;02/01/2023;28/08/2023;Operacao Especial;Tráfico de Drogas                                                                                                               ;ES;SR/PF/ES                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
7edad3b7e3da7a7799bc378424dd40bf;28/08/2023;28/08/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
56dfc41867dc4d05e285222c24c4e7c2;28/08/2023;28/08/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MT;SR/PF/MT                                                        ;Nao;                                                                                                                                ;0;0;0;0;R$806,00;;;;0;0;0;0;0;0;0;0;0;0
2eeb9d707f0b1ce2c6609df5da9b49ca;27/08/2023;27/08/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;BA;DPF/JZO/BA                                                      ;Nao;                                                                                                                                ;3;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
69a382811e6dbf95f2744d64249eb913;31/10/2022;25/08/2023;Operacao Especial;Crimes Contra Direitos Humanos                                                                                                  ;ES;DPF/SMT/ES                                                      ;Nao;                                                                                                                                ;1;0;0;2;;;;;0;0;0;0;0;0;0;0;0;0
ae029258854ca9d8e649a5fb43f366b0;01/06/2023;25/08/2023;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;BA;SR/PF/BA                                                        ;Nao;                                                                                                                                ;0;1;0;1;;;;;0;0;0;0;0;0;0;0;0;0
